"ADDR_ENG","MEMO_NO","REGISTRY_CODE","DELIVERY_DATE","v_region_id","v_str_region","v_str_mjdist","v_mjdist_code","v_str_dist","v_dist_code","v_str_lot_full","v_str_lot_ext_full","v_str_dd_full","v_str_estate","v_est_id","v_str_phase","v_phase_id","v_str_street_full","v_str_bldg_full","v_bldg_id","v_str_floor_full","v_str_floor_net","v_str_unit_full","v_str_unit_net","unit_id","v_has_carpark","v_has_roof","map_status","unparse_namestr","unit_num"
"2/F & ROOF LOT NO.786 IN DD216 SAI KUNG NEW TERRITORIES","289695","SK","1997-08-2812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.786","","DD216","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& ROOF  IN   ","0"
"2/F & TOP ROOF LOT NO.337 IN DD253 SAI KUNG NEW TERRITORIES","290144","SK","1997-09-0112.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.337","","DD253","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& TOP ROOF  IN   ","0"
"G/F, LOT NO. 960S.C R.P. IN D.D. 222, SAI KUNG, NEW TERRITORIES.","289930","SK","1997-08-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO. 960","S.C R.P.","D.D. 222","","","","","","","","G/F ","G","","","","0","0","No Estate Info","IN  .  ","0"
"2/F & ROOF LOT NO.312 IN DD214 SAI KUNG NEW TERRITORIES","290166","SK","1997-09-0112.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.312","","DD214","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& ROOF  IN   ","0"
"G/F LOT NO.117 IN DD256 SAI KUNG NEW TERRITORIES","290175","SK","1997-09-0112.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.117","","DD256","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"1/F THE REMAINING PORTION OF LOT NO. 1304 IN DD243 SAI KUNG NEW TERRITORIES","289940","SK","1997-08-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO. 1304","R.P.","DD243","","","","","","","","1/F ","1","","","","0","0","No Estate Info","THE OF  IN   ","0"
"1/F & BALCONY APPERTAINING THERETO LOT NO.2026 IN DD244 SAI KUNG NEW TERRITORIES","289953","SK","1997-08-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.2026","","DD244","","","","","","","","1/F ","1","","","","0","0","No Estate Info","& BALCONY APPERTAINING THERETO  IN   ","0"
"1/F OF BLOCK B LOT NO.96 IN DD230 SAI KUNG NEW TERRITORIES","290199","SK","1997-09-0212.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.96","","DD230","","","","","","BLOCK B ","","1/F ","1","","","","0","0","No Estate Info","OF  IN   ","0"
"G/F LOT NO.375 IN DD227 SAI KUNG NEW TERRITORIES","290202","SK","1997-09-0212.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.375","","DD227","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"2/F & ROOF LOT NO.845 IN DD226 SAI KUNG NEW TERRITORIES","289835","SK","1997-08-2812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.845","","DD226","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& ROOF  IN   ","0"
"2/F & ROOF R.P. OF LOT NO.361 IN DD227 SAI KUNG NEW TERRITORIES","289844","SK","1997-08-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.361","R.P.","DD227","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& ROOF OF  IN   ","0"
"2/F INCLUDING THE BALCONY & THE MAIN ROOF THEREABOVE & THE CANOPY LOT NO.937 IN DD214 SAI KUNG NEW TERRITORIES","290003","SK","1997-08-3012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.937","","DD214","","","","","","","","2/F ","2","","","","0","1","No Estate Info","INCLUDING THE BALCONY & THE MAIN ROOF THEREABOVE & THE CANOPY  IN   ","0"
"2/F INCLUDING THE BALCONY & THE MAIN ROOF THEREABOVE & THE CANOPY LOT NO.937 IN DD214 SAI KUNG NEW TERRITORIES","290004","SK","1997-08-3012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.937","","DD214","","","","","","","","2/F ","2","","","","0","1","No Estate Info","INCLUDING THE BALCONY & THE MAIN ROOF THEREABOVE & THE CANOPY  IN   ","0"
"1ST FLOOR","289860","SK","1997-08-2912.00.00","","","","","","","","","","","","","","","","","1ST FLOOR","1","","","","0","0","No Estate Info","","0"
"2/F & ROOF OF BLOCK A S.A & R.P. OF LOT NO.278 IN DD226 LOT NOS. 279 & 280 IN DD226 SAI KUNG NEW TERRITORIES","290022","SK","1997-08-3012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.278,LOT NOS. 279 & 280","S.A R.P.","DD226","","","","","","BLOCK A ","","2/F ","2","","","","0","1","No Estate Info","& ROOF OF & OF  IN   IN   ","0"
"2/F & ROOF LOT NO.1032 IN DD215 SAI KUNG NEW TERRITORIES","290306","SK","1997-09-0212.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1032","","DD215","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& ROOF  IN   ","0"
"2/F AND ROOF, LOT NO. 787 IN D.D. NO. 230, SAI KUNG, NEW TERRITORIES.","290315","SK","1997-09-0212.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO. 787","","D.D. NO. 230","","","","","","","","2/F ","2","","","","0","1","No Estate Info","AND ROOF  IN  .  ","0"
"1/F LOT NO.1481 IN DD244 SAI KUNG NEW TERRITORIES","290333","SK","1997-09-0212.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1481","","DD244","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"HOUSE UNIT 6 ON PAHSE I LOT NO.288 IN DD252 SAI KUNG NEW TERRITORIES","289873","SK","1997-08-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.288","","DD252","","","","","","HOUSE  ON ","","","","UNIT 6","6","","0","0","No Estate Info","PAHSE I  IN   ","0"
"G/F WITH THE GARDEN AREA ADJOINING THERETO LOT NO.811 IN DD227 SAI KUNG NEW TERRITORIES","290066","SK","1997-08-3012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.811","","DD227","","","","","","","","G/F ","G","","","","0","0","No Estate Info","WITH THE GARDEN AREA ADJOINING THERETO  IN   ","0"
"G/F LOT NO.536 IN DD225 SAI KUNG NEW TERRITORIES","289889","SK","1997-08-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.536","","DD225","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.1412 IN DD244 SAI KUNG NEW TERRITORIES","289901","SK","1997-08-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1412","","DD244","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.759 IN DD230 SAI KUNG NEW TERRITORIES","289910","SK","1997-08-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.759","","DD230","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.323 IN DD252 SAI KUNG NEW TERRITORIES","288935","SK","1997-08-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.323","","DD252","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"GROUND FLOOR","289105","SK","1997-08-2612.00.00","","","","","","","","","","","","","","","","","GROUND FLOOR","G","","","","0","0","No Estate Info","","0"
"2/F AND ROOF LOT NO.671 IN DD230 SAI KUNG NEW TERRITORIES","289379","SK","1997-08-2712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.671","","DD230","","","","","","","","2/F ","2","","","","0","1","No Estate Info","AND ROOF  IN   ","0"
"G/F LOT NO.1446 IN DD243 SAI KUNG NEW TERRITORIES","288989","SK","1997-08-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1446","","DD243","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"G/F LOT NO.1042 IN DD215 SAI KUNG NEW TERRITORIES","289126","SK","1997-08-2612.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1042","","DD215","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO. 2047 IN D.D. NO. 244 SAI KUNG NEW TERRITORIES","289016","SK","1997-08-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO. 2047","","D.D. NO. 244","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"FOR ADDRESS, SEE MEMORIAL.","289156","SK","1997-08-2612.00.00","","","","","","","","","","","","","","","","","","","","","","0","0","No Estate Info","FOR ADDRESS, SEE MEMORIAL.","0"
"2/F INCLUDING MAIN ROOF THEREOF S.B OF LOT NO.66 IN DD223 SAI KUNG NEW TERRITORIES","289024","SK","1997-08-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.66","S.B","DD223","","","","","","","","2/F ","2","","","","0","1","No Estate Info","INCLUDING MAIN ROOF THEREOF OF  IN   ","0"
"1/F LOT NO.518 IN DD225 SAI KUNG NEW TERRITORIES","289461","SK","1997-08-2712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.518","","DD225","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.840 IN DD216 SAI KUNG NEW TERRITORIES","289059","SK","1997-08-2512.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.840","","DD216","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.394 IN DD224 SAI KUNG NEW TERRITORIES","293009","SK","1997-09-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.394","","DD224","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"2/F AND ROOF LOT NO.124 IN DD210 SAI KUNG NEW TERRITORIES","293295","SK","1997-10-0312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.124","","DD210","","","","","","","","2/F ","2","","","","0","1","No Estate Info","AND ROOF  IN   ","0"
"PORTION A OF G/F LOT NO.1767 IN DD221 SAI KUNG NEW TERRITORIES","293391","SK","1997-10-0312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1767","","DD221","","","","","","","","G/F ","G","","","","0","0","No Estate Info","PORTION A OF  IN   ","0"
"2/F & ROOF LOT NO.1342 IN DD222 SAI KUNG NEW TERRITORIES","293392","SK","1997-10-0312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1342","","DD222","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& ROOF  IN   ","0"
"1/F LOT NO.1136 IN DD217 SAI KUNG NEW TERRITORIES","293361","SK","1997-10-0312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1136","","DD217","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"2/F AND MAIN ROOF LOT NO.380 IN DD239 SAI KUNG NEW TERRITORIES","293362","SK","1997-10-0312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.380","","DD239","","","","","","","","2/F ","2","","","","0","1","No Estate Info","AND MAIN ROOF  IN   ","0"
"FLAT B ON 1/F NO.11 SAI KUNG ROAD SAI KUNG NEW TERRITORIES","293634","SK","1997-10-0712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","SAI KUNG ","K-SK / CWB","","","","SAI KUNG ROAD","E000000308","","","NO.11 SAI KUNG ROAD","","","1/F ","1","FLAT B","B","U002052638","0","0","Full Mapped - Flat"," ON ","1"
"2/F AND MAIN ROOF OF HOUSE A LOT NO.1030 IN DD222 SAI KUNG NEW TERRITORIES","293641","SK","1997-10-0712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1030","","DD222","","","","","","HOUSE A ","","2/F ","2","","","","0","1","No Estate Info","AND MAIN ROOF OF  IN   ","0"
"2/F & MAIN ROOF LOT NO.82 IN DD235 SAI KUNG NEW TERRITORIES","293678","SK","1997-10-0712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.82","","DD235","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& MAIN ROOF  IN   ","0"
"1/F S.F OF LOT NO.80 IN DD253 SAI KUNG NEW TERRITORIES","293689","SK","1997-10-0712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.80","S.F","DD253","","","","","","","","1/F ","1","","","","0","0","No Estate Info","OF  IN   ","0"
"G/F LOT NO.1018 IN DD215 SAI KUNG NEW TERRITORIES","293556","SK","1997-10-0412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1018","","DD215","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.93 IN DD235 SAI KUNG NEW TERRITORIES","293581","SK","1997-10-0612.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.93","","DD235","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.588 IN DD238 SAI KUNG NEW TERRITORIES","293594","SK","1997-10-0612.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.588","","DD238","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"G/F LOT NO.52 IN DD215 SAI KUNG NEW TERRITORIES","293487","SK","1997-10-0412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.52","","DD215","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"2/F & ROOF S.A & R.P. OF LOT NO.356 IN DD227 SAI KUNG NEW TERRITORIES","293609","SK","1997-10-0712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.356","S.A R.P.","DD227","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& ROOF & OF  IN   ","0"
"G/F OF HOUSE A LOT NO.201 IN DD248 SAI KUNG NEW TERRITORIES","293035","SK","1997-09-3012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.201","","DD248","","","","","","HOUSE A ","","G/F ","G","","","","0","0","No Estate Info","OF  IN   ","0"
"FLAT B ON 2/F WITH CORRESPONDING PORTION OF THE ROOF LOT NO.377 IN DD227 SAI KUNG NEW TERRITORIES","292937","SK","1997-09-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.377","","DD227","","","","","","","","2/F ","2","FLAT B","B","","0","1","No Estate Info"," ON WITH CORRESPONDING PORTION OF THE ROOF  IN   ","0"
"1/F LOT NO.541 IN DD210 SAI KUNG NEW TERRITORIES","292948","SK","1997-09-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.541","","DD210","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.1461 IN DD243 SAI KUNG NEW TERRITORIES","292960","SK","1997-09-2912.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1461","","DD243","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"FLAT A ON 1/F LOT NO.410, 411 & 412 IN DD257 SAI KUNG NEW TERRITORIES","293173","SK","1997-09-3012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.410","","DD257","","","","","411 & ","","","1/F ","1","FLAT A","A","","0","0","No Estate Info"," ON 412 IN   ","0"
"2/F INCLUDING BALCONY APPERTAINING THERETO & THE ROOF THEREOF LOT NO.1012 IN DD220 SAI KUNG NEW TERRITORIES","291941","SK","1997-09-2012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1012","","DD220","","","","","","","","2/F ","2","","","","0","1","No Estate Info","INCLUDING BALCONY APPERTAINING THERETO & THE ROOF THEREOF  IN   ","0"
"SECOND FLOOR & ROOF LOT NO.1391 IN DD222 SAI KUNG NEW TERRITORIES","292062","SK","1997-09-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1391","","DD222","","","","","","","","2ND FLOOR","2","","","","0","1","No Estate Info"," & ROOF  IN   ","0"
"1/F R.P. OF LOT NO.82 IN DD212 SAI KUNG NEW TERRITORIES","292067","SK","1997-09-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.82","R.P.","DD212","","","","","","","","1/F ","1","","","","0","0","No Estate Info","OF  IN   ","0"
"2/F & ROOF LOT NO.904 IN DD226 SAI KUNG NEW TERRITORIES","292068","SK","1997-09-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.904","","DD226","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& ROOF  IN   ","0"
"G/F LOT NO.931 IN DD369 SAI KUNG NEW TERRITORIES","292314","SK","1997-09-2412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.931","","DD369","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"G/F LOT NO.94 IN DD242 SAI KUNG NEW TERRITORIES","292087","SK","1997-09-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.94","","DD242","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"2/F TOGETHER WITH THE BALCONY APPERTAINING THERETO AND ROOF LOT NO.777 IN DD230 SAI KUNG NEW TERRITORIES","292088","SK","1997-09-2312.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.777","","DD230","","","","","","","","2/F ","2","","","","0","1","No Estate Info","TOGETHER WITH THE BALCONY APPERTAINING THERETO AND ROOF  IN   ","0"
"GROUND FLOOR, LOT NO. 303 IN DD NO. 252, SAI KUNG, NEW TERRITORIES.","292327","SK","1997-09-2412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO. 303","","DD NO. 252","","","","","","","","GROUND FLOOR","G","","","","0","0","No Estate Info","  IN  .  ","0"
"GROUND FLOOR, LOT NO. 303 IN DD NO. 252, SAI KUNG, NEW TERRITORIES.","292328","SK","1997-09-2412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO. 303","","DD NO. 252","","","","","","","","GROUND FLOOR","G","","","","0","0","No Estate Info","  IN  .  ","0"
"1/F LOT NO.1064 IN DD215 SAI KUNG NEW TERRITORIES","292368","SK","1997-09-2512.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1064","","DD215","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"G/F LOT NO.699 IN DD242 SAI KUNG NEW TERRITORIES","292476","SK","1997-09-2512.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.699","","DD242","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.1389 IN DD222 SAI KUNG NEW TERRITORIES","292480","SK","1997-09-2512.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1389","","DD222","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"G/F LOT NO.1389 IN DD222 SAI KUNG NEW TERRITORIES","292482","SK","1997-09-2512.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1389","","DD222","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"G/F INCLUDING A BALCONY AND ITS EXTERNAL WALL LOT NO.768 IN DD225 SAI KUNG NEW TERRITORIES","292502","SK","1997-09-2512.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.768","","DD225","","","","","","","","G/F ","G","","","","0","0","No Estate Info","INCLUDING A BALCONY AND ITS EXTERNAL WALL  IN   ","0"
"1/F LOT NO.742 IN DD227 SAI KUNG NEW TERRITORIES","292794","SK","1997-09-2712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.742","","DD227","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.1621 IN DD244 SAI KUNG NEW TERRITORIES","292799","SK","1997-09-2712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1621","","DD244","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"G/F (INCLUDING A BALCONY AND ITS EXTERNAL WALL) S.A OF LOT NO.37 IN DD236 SAI KUNG NEW TERRITORIES","292815","SK","1997-09-2712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.37","S.A","DD236","","","","","","","","G/F ","G","","","","0","0","No Estate Info","(INCLUDING A BALCONY AND ITS EXTERNAL WALL) OF  IN   ","0"
"G/F LOT NO.362 IN DD212 SAI KUNG NEW TERRITORIES","292820","SK","1997-09-2712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.362","","DD212","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"GROUND FLOOR S.A OF LOT NO.1110 IN DD243 SAI KUNG NEW TERRITORIES","292724","SK","1997-09-2712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1110","S.A","DD243","","","","","","","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF  IN   ","0"
"G/F LOT NO.251 IN DD233 SAI KUNG NEW TERRITORIES","292733","SK","1997-09-2712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.251","","DD233","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.786 IN DD227 & EXT. SAI KUNG NEW TERRITORIES","292221","SK","1997-09-2412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.786","","DD227","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN  & EXT.  ","0"
"1/F LOT NO.850 IN DD226 SAI KUNG NEW TERRITORIES","292233","SK","1997-09-2412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.850","","DD226","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"FLAT A ON 2/F FRONT PORTION INCLUDING THE CORRESPONDING ROOF S.A OF LOT NO.354 IN DD215 SAI KUNG NEW TERRITORIES","292263","SK","1997-09-2412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.354","S.A","DD215","","","","","","","","2/F ","2","FLAT A","A","","0","1","No Estate Info"," ON FRONT PORTION INCLUDING THE CORRESPONDING ROOF OF  IN   ","0"
"GROUND FLOOR LOT NO.765 IN DD230 SAI KUNG NEW TERRITORIES","292014","SK","1997-09-2212.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.765","","DD230","","","","","","","","GROUND FLOOR","G","","","","0","0","No Estate Info","  IN   ","0"
"G/F LOT NO.1538 IN DD243 SAI KUNG NEW TERRITORIES","292035","SK","1997-09-2212.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1538","","DD243","","","","","","","","G/F ","G","","","","0","0","No Estate Info"," IN   ","0"
"2/F & MAIN ROOF LOT NO.759 IN DD230 SAI KUNG NEW TERRITORIES","292269","SK","1997-09-2412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.759","","DD230","","","","","","","","2/F ","2","","","","0","1","No Estate Info","& MAIN ROOF  IN   ","0"
"G/F SS.1 OF S.A & S.B OF LOT NO.309 IN DD215 SAI KUNG NEW TERRITORIES","291926","SK","1997-09-2012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.309","SS.1 S.A S.B","DD215","","","","","","","","G/F ","G","","","","0","0","No Estate Info","OF & OF  IN   ","0"
"FLAT A ON 2/F AND PORTION OF THE ROOF ABOVE THEREOF SS.1 OF S.B OF LOT NO.1538 IN DD244 SAI KUNG NEW TERRITORIES","291932","SK","1997-09-2012.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1538","SS.1 S.B","DD244","","","","","","","","2/F ","2","FLAT A","A","","0","1","No Estate Info"," ON AND PORTION OF THE ROOF ABOVE THEREOF OF OF  IN   ","0"
"2ND FLOOR & ROOF","295374","SK","1997-10-1612.00.00","","","","","","","","","","","","","","","","","2ND FLOOR","2","","","","0","1","No Estate Info"," & ROOF","0"
"1/F OF HOUSE A LOT NO.1030 IN DD222 SAI KUNG NEW TERRITORIES","295377","SK","1997-10-1712.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1030","","DD222","","","","","","HOUSE A ","","1/F ","1","","","","0","0","No Estate Info","OF  IN   ","0"
"G/F THE R.P. OF LOT NO.1765 IN DD221 SAI KUNG NEW TERRITORIES","295610","SK","1997-10-1812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1765","R.P.","DD221","","","","","","","","G/F ","G","","","","0","0","No Estate Info","THE OF  IN   ","0"
"1/F LOT NO.1045 IN DD215 SAI KUNG NEW TERRITORIES","295612","SK","1997-10-1812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1045","","DD215","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"FLAT B ON G/F & CAR PARKING SPACE NO.3 LOT NO.490 IN DD238 SAI KUNG NEW TERRITORIES","295632","SK","1997-10-1812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.490","","DD238","","","","","NO.3  IN ","","","G/F ","G","FLAT B","B","","0","0","No Estate Info"," ON & CAR PARKING SPACE ","0"
"FLAT B ON 1/F & CAR PARKING SPACE NO.4 LOT NO.490 IN DD238 SAI KUNG NEW TERRITORIES","295633","SK","1997-10-1812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.490","","DD238","","","","","NO.4  IN ","","","1/F ","1","FLAT B","B","","0","0","No Estate Info"," ON & CAR PARKING SPACE ","0"
"1/F LOT NO.299 IN DD214 SAI KUNG NEW TERRITORIES","295657","SK","1997-10-1812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.299","","DD214","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.1003 IN DD243 SAI KUNG NEW TERRITORIES","295658","SK","1997-10-1812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1003","","DD243","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.1003 IN DD243 SAI KUNG NEW TERRITORIES","295659","SK","1997-10-1812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1003","","DD243","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"1/F LOT NO.1570 IN DD243 SAI KUNG NEW TERRITORIES","295690","SK","1997-10-1812.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.1570","","DD243","","","","","","","","1/F ","1","","","","0","0","No Estate Info"," IN   ","0"
"GROUND FLOOR","296201","SK","1997-10-2412.00.00","","","","","","","","","","","","","","","","","GROUND FLOOR","G","","","","0","0","No Estate Info","","0"
"1/F OF BLOCK A LOT NO.988 IN DD215 SAI KUNG NEW TERRITORIES","296208","SK","1997-10-2412.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.988","","DD215","","","","","","BLOCK A ","","1/F ","1","","","","0","0","No Estate Info","OF  IN   ","0"
"2/F AND ROOF LOT NO.221 IN DD226 SAI KUNG NEW TERRITORIES","295977","SK","1997-10-2212.00.00","30","NEW TERRITORIES","SAI KUNG","SK","","","LOT NO.221","","DD226","","","","","","","","2/F ","2","","","","0","1","No Estate Info","AND ROOF  IN   ","0"
